dialerLeadId,Final_Output,Sales_Probability,Predictive_Sales_Probability,No_Sales_Probability
2557737,0,0.417619167,18.91836791,80.66401293
2538661,2,89.70172138,1.969737621,8.328540996
2369580,0,0.241751845,21.69742254,78.06082562
2844939,0,0.048196865,5.667346967,94.28445617
3222634,0,0.475020009,18.68973988,80.83524011
2342817,0,0.219764778,18.57098808,81.20924714
2619811,0,0.022367101,17.20706633,82.77056656
2625372,1,0.003496098,97.81523097,2.181272933
3389284,0,0.342947708,26.15079475,73.50625754
3241800,0,0.15252512,7.894287226,91.95318765
2610491,0,0.484558776,20.68413309,78.83130813
2931005,1,0.015883948,90.8669751,9.117140957
2675304,1,0.007526403,98.44397084,1.548502757
2510854,0,0.133889919,24.44320682,75.42290326
2676073,0,0.143186574,23.26596741,76.59084601
2908431,0,0.167149545,17.02887609,82.80397436
1.80017E+12,1,0.002437971,99.89801555,0.099546475
3040271,1,0.00489941,87.30731186,12.68778873
2541988,1,0.012598987,95.05796625,4.929434762
3107122,1,0.024722608,74.85481089,25.1204665
2925964,1,0.02072054,93.96724687,6.01203259
2935578,0,1.962710887,13.41797039,84.61931872
3401256,0,0.667112658,23.71143621,75.62145114
2634335,0,32.20467068,5.329057894,62.46627143
3219848,1,0.028125305,71.19116827,28.78070643
2343824,2,49.07370941,3.104044366,47.82224622
2665641,2,88.99251821,5.652406088,5.355075706
3135745,0,0.37954346,19.64042119,79.98003535
3424847,1,0.025606337,64.61860524,35.35578842
3211358,1,0.002756443,98.19648326,1.800760295
2667012,0,1.70630561,20.56414515,77.72954924
3046385,1,0.007052113,83.15122686,16.84172103
3191483,0,0.75690755,24.42784588,74.81524657
3094610,0,0.219180413,15.76247192,84.01834767
3238539,1,0.003400042,97.8308187,2.165781257
3054428,1,0.010600178,75.72953497,24.25986485
3299650,0,9.626522713,3.307713529,87.06576376
2674899,0,0.149041128,26.5908455,73.26011338
3018805,1,0.023919591,74.36815517,25.60792524
3367900,0,0.23171581,26.19775304,73.57053115
3226430,0,1.483829574,20.98249205,77.53367838
2917911,1,0.023676984,78.30356914,21.67275388
3390041,1,0.005902464,97.55505481,2.439042721
3024250,1,0.004429338,97.99132947,2.004241188
2683606,0,0.300313602,22.51050562,77.18918077
3018697,0,0.134044402,17.37522278,82.49073282
3193995,1,0.004537839,96.37197401,3.623488147
3211828,1,0.004673655,98.45201716,1.543309189
2993415,0,0.235408417,34.98601992,64.77857167
2568311,1,0.017905293,93.64658763,6.335507081
2349316,0,0.171855118,7.489470691,92.33867419
2590807,0,0.30403822,26.36993622,73.32602556
2758038,1,0.008419375,98.14882619,1.842754437
3336106,1,0.003319838,98.20332157,1.793358592
2987855,1,0.03813337,61.10031297,38.86155366
2955390,1,0.002938638,97.9895365,2.007524867
